ForecastID,ConfirmedCases,Region,Date
1,10208,Hokkaido,2020/12/7
2,10394,Hokkaido,2020/12/8
3,10585,Hokkaido,2020/12/9
4,10781,Hokkaido,2020/12/10
5,10977,Hokkaido,2020/12/11
6,11166,Hokkaido,2020/12/12
7,11357,Hokkaido,2020/12/13
8,11548,Hokkaido,2020/12/14
9,11746,Hokkaido,2020/12/15
10,11948,Hokkaido,2020/12/16
11,12151,Hokkaido,2020/12/17
12,12356,Hokkaido,2020/12/18
13,12560,Hokkaido,2020/12/19
14,12768,Hokkaido,2020/12/20
15,12978,Hokkaido,2020/12/21
16,13192,Hokkaido,2020/12/22
17,13409,Hokkaido,2020/12/23
18,13629,Hokkaido,2020/12/24
19,13850,Hokkaido,2020/12/25
20,14074,Hokkaido,2020/12/26
21,14301,Hokkaido,2020/12/27
22,14531,Hokkaido,2020/12/28
23,14764,Hokkaido,2020/12/29
24,15000,Hokkaido,2020/12/30
25,15239,Hokkaido,2020/12/31
26,15481,Hokkaido,2021/1/1
27,15726,Hokkaido,2021/1/2
28,15974,Hokkaido,2021/1/3
29,335,Aomori,2020/12/7
30,340,Aomori,2020/12/8
31,345,Aomori,2020/12/9
32,350,Aomori,2020/12/10
33,355,Aomori,2020/12/11
34,360,Aomori,2020/12/12
35,365,Aomori,2020/12/13
36,370,Aomori,2020/12/14
37,375,Aomori,2020/12/15
38,380,Aomori,2020/12/16
39,385,Aomori,2020/12/17
40,390,Aomori,2020/12/18
41,396,Aomori,2020/12/19
42,401,Aomori,2020/12/20
43,406,Aomori,2020/12/21
44,411,Aomori,2020/12/22
45,416,Aomori,2020/12/23
46,421,Aomori,2020/12/24
47,426,Aomori,2020/12/25
48,431,Aomori,2020/12/26
49,436,Aomori,2020/12/27
50,441,Aomori,2020/12/28
51,446,Aomori,2020/12/29
52,451,Aomori,2020/12/30
53,456,Aomori,2020/12/31
54,461,Aomori,2021/1/1
55,466,Aomori,2021/1/2
56,471,Aomori,2021/1/3
57,224,Iwate,2020/12/7
58,226,Iwate,2020/12/8
59,229,Iwate,2020/12/9
60,232,Iwate,2020/12/10
61,235,Iwate,2020/12/11
62,238,Iwate,2020/12/12
63,240,Iwate,2020/12/13
64,243,Iwate,2020/12/14
65,246,Iwate,2020/12/15
66,249,Iwate,2020/12/16
67,252,Iwate,2020/12/17
68,254,Iwate,2020/12/18
69,257,Iwate,2020/12/19
70,260,Iwate,2020/12/20
71,263,Iwate,2020/12/21
72,266,Iwate,2020/12/22
73,268,Iwate,2020/12/23
74,271,Iwate,2020/12/24
75,274,Iwate,2020/12/25
76,277,Iwate,2020/12/26
77,280,Iwate,2020/12/27
78,282,Iwate,2020/12/28
79,285,Iwate,2020/12/29
80,288,Iwate,2020/12/30
81,291,Iwate,2020/12/31
82,294,Iwate,2021/1/1
83,297,Iwate,2021/1/2
84,299,Iwate,2021/1/3
85,1317,Miyagi,2020/12/7
86,1336,Miyagi,2020/12/8
87,1355,Miyagi,2020/12/9
88,1375,Miyagi,2020/12/10
89,1393,Miyagi,2020/12/11
90,1412,Miyagi,2020/12/12
91,1431,Miyagi,2020/12/13
92,1449,Miyagi,2020/12/14
93,1468,Miyagi,2020/12/15
94,1487,Miyagi,2020/12/16
95,1506,Miyagi,2020/12/17
96,1525,Miyagi,2020/12/18
97,1544,Miyagi,2020/12/19
98,1563,Miyagi,2020/12/20
99,1581,Miyagi,2020/12/21
100,1600,Miyagi,2020/12/22
101,1619,Miyagi,2020/12/23
102,1638,Miyagi,2020/12/24
103,1657,Miyagi,2020/12/25
104,1675,Miyagi,2020/12/26
105,1694,Miyagi,2020/12/27
106,1713,Miyagi,2020/12/28
107,1732,Miyagi,2020/12/29
108,1751,Miyagi,2020/12/30
109,1770,Miyagi,2020/12/31
110,1788,Miyagi,2021/1/1
111,1807,Miyagi,2021/1/2
112,1826,Miyagi,2021/1/3
113,90,Akita,2020/12/7
114,90,Akita,2020/12/8
115,90,Akita,2020/12/9
116,90,Akita,2020/12/10
117,90,Akita,2020/12/11
118,90,Akita,2020/12/12
119,90,Akita,2020/12/13
120,90,Akita,2020/12/14
121,90,Akita,2020/12/15
122,90,Akita,2020/12/16
123,90,Akita,2020/12/17
124,90,Akita,2020/12/18
